"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
1966.147,"x",NA,211,0.4279621,"y",NA,313,"orangeGrp"
1971.019,"x",NA,276,0.4298578,"y",NA,311,"orangeGrp"
1983.013,"x",NA,436,0.4421801,"y",NA,298,"orangeGrp"
1986.987,"x",NA,489,0.4582938,"y",NA,281,"orangeGrp"
1990.885,"x",NA,541,0.4611374,"y",NA,278,"orangeGrp"
1990.885,"x",NA,541,0.4450237,"y",NA,295,"orangeGrp"
1995.832,"x",NA,607,0.4800948,"y",NA,258,"orangeGrp"
2000.855,"x",NA,674,0.5,"y",NA,237,"orangeGrp"
2000.93,"x",NA,675,0.4516588,"y",NA,288,"orangeGrp"
2001.979,"x",NA,689,0.5180095,"y",NA,218,"orangeGrp"
2005.952,"x",NA,742,0.5208531,"y",NA,215,"orangeGrp"
1966.072,"x",NA,210,0.4402844,"y",NA,300,"berryGrp"
1971.094,"x",NA,277,0.4412322,"y",NA,299,"berryGrp"
1983.088,"x",NA,437,0.4696682,"y",NA,269,"berryGrp"
1986.837,"x",NA,487,0.4867299,"y",NA,251,"berryGrp"
1990.96,"x",NA,542,0.5104265,"y",NA,226,"berryGrp"
1990.81,"x",NA,540,0.4838863,"y",NA,254,"berryGrp"
1995.907,"x",NA,608,0.5161137,"y",NA,220,"berryGrp"
2000.93,"x",NA,675,0.5587678,"y",NA,175,"berryGrp"
2000.93,"x",NA,675,0.4829384,"y",NA,255,"berryGrp"
2002.054,"x",NA,690,0.5597156,"y",NA,174,"berryGrp"
2005.952,"x",NA,742,0.5682464,"y",NA,165,"berryGrp"
