Biomass,Yield
4967.741935483871,1540
4593.75,1470
7093.023255813953,3050
4117.647058823529,1400
4619.444444444444,1663
7659.090909090909,3370
5333.333333333333,1760
7190.51282051282,2804.3
6875.135135135136,2543.8
8401.5,3360.6
7790.263157894738,2960.3
6298.205128205129,2456.3
7815.675675675676,2891.8
7258.5,2903.4
8993.421052631578,3417.5
7058.333333333334,2541
7197.4358974358975,2807
8017.105263157895,3046.5
8186,3274.4
5284.745762711865,3118
4491.666666666667,2695
438.5964912280702,250
4055.3571428571427,2271
3733.928571428571,2091
3043.8000000000006,1513
3157.2,1578.6
4610.2,2225
3981.253097345133,2008.4
3508.4073394495413,1941.2
3097.2,1637.6
3542.1999999999994,1975.8
1993.6,1174.8
2632.1910447761193,1191.6
4236.4,1975.8
3684.6,1851.2
3716.256603773585,1884.8
3686.8258064516126,1656.4
3132.8,1477.4
3721.9863247863245,2083.6
6995.4,2581
5874,2100.4
4576.957798165138,1941.2
9533.303496503497,2543.4
4307.599999999999,1744.4
3417.5999999999995,1477.4
4621.196261682243,1901.8
5104.4672,2223.2
3285.7701149425293,1545.2
4322.990082644628,2152.6
3222.705000000001,1424.4
3217.8219780219783,1617.8
5718.2181818181825,2734.8
4478.909734513274,2008.4
4750.057142857143,2241.6
3809.2,1477.4
3446.145454545454,1563.2
3471.0000000000005,1780
3840.7245283018865,1884.8
4005.0000000000005,1922.4
7266.234146341464,2913.6
8704.2,3560
6129.36119402985,2387.6
4900.78947368421,2031.6
4442.4680412371135,1730.6
4258.268085106382,1674.8
4945.515384615384,1856.8
4749.123076923077,1856.8
4521.2,1780
4212.038095238096,1499.2
4132.423913043479,1617.8
3732.878048780488,1457.6
5168.194174757282,1835.6
4365.170212765957,1674.8
3718.433802816902,1263.2
5399.778947368421,2031.6
4262.620689655173,1545.2
4147.400000000001,1513
4912.799999999999,1869
5357.8,2047
6581.58940397351,2686
7155.6,2492
7128.946753246753,2737.8
7043.897959183674,2621.4
4802.684615384615,1856.8
3991.012765957447,1674.8
3022.4250000000006,1131.2
4859.4,1869
4022.8,1513
4489.889361702128,1674.8
5527.543362831859,2008.4
3613.3999999999996,1477.4
