Study,YOR,HI
Rowntree et al. (2014),2005,0.5139535
Rowntree et al. (2014),2005,0.5325580999999999
Rowntree et al. (2014),2005,0.4860465
Rowntree et al. (2014),2005,0.4523256
Rowntree et al. (2014),2005,0.42093020000000003
Rowntree et al. (2014),2006,0.4697674
Rowntree et al. (2014),2006,0.4488372
Rowntree et al. (2014),2006,0.43488370000000004
Rowntree et al. (2014),2008,0.4674419
Rowntree et al. (2014),2008,0.5302326
Rowntree et al. (2014),2008,0.4418605
Rowntree et al. (2014),2008,0.39302329999999996
Rowntree et al. (2014),2008,0.47805610000000004
Rowntree et al. (2014),2008,0.40649219999999997
Rowntree et al. (2014),2008,0.347416
Li et al. (2017),1966,0.4279621
Li et al. (2017),1971,0.4298578
Li et al. (2017),1983,0.4421801
Li et al. (2017),1987,0.4582938
Li et al. (2017),1991,0.4611374
Li et al. (2017),1991,0.4450237
Li et al. (2017),1996,0.4800948
Li et al. (2017),2001,0.5
Li et al. (2017),2001,0.4516588
Li et al. (2017),2002,0.5180095
Li et al. (2017),2006,0.5208531
Li et al. (2017),1966,0.4402844
Li et al. (2017),1971,0.4412322
Li et al. (2017),1983,0.4696682
Li et al. (2017),1987,0.4867299
Li et al. (2017),1991,0.5104265
Li et al. (2017),1991,0.4838863
Li et al. (2017),1996,0.5161137
Li et al. (2017),2001,0.5587678
Li et al. (2017),2001,0.4829384
Li et al. (2017),2002,0.5597156
Li et al. (2017),2006,0.5682464
Koester et al. 2014),1971,0.5233602
Koester et al. 2014),1927,0.3433404
Koester et al. 2014),1974,0.5142026
Koester et al. 2014),1984,0.5252097
Koester et al. 2014),1998,0.6326999
Koester et al. 2014),1964,0.5131163
Koester et al. 2014),1928,0.4953601
Koester et al. 2014),1934,0.4441818
Koester et al. 2014),1996,0.6077945
Koester et al. 2014),1989,0.5983673
Koester et al. 2014),1943,0.5223913
Koester et al. 2014),1987,0.5757078
Koester et al. 2014),1994,0.5223545
Koester et al. 2014),1968,0.5135323
Koester et al. 2014),1960,0.4329892
Koester et al. 2014),1964,0.472273
Koester et al. 2014),1958,0.5180549
Koester et al. 2014),1986,0.5497456
Koester et al. 2014),1958,0.4709854
Koester et al. 2014),2005,0.5915811
Koester et al. 2014),2004,0.5853755
Koester et al. 2014),2002,0.6003953
Koester et al. 2014),2007,0.5932806
Waqar et al (2025),1940,0.39
Waqar et al (2025),1955,0.41
Waqar et al (2025),1970,0.46
Waqar et al (2025),1980,0.45
Waqar et al (2025),1995,0.51
Waqar et al (2025),2010,0.45
Waqar et al (2025),2020,0.5
Waqar et al (2025),1940,0.37
Waqar et al (2025),1955,0.4
Waqar et al (2025),1965,0.42
Waqar et al (2025),1980,0.44
Waqar et al (2025),1990,0.47
Waqar et al (2025),2010,0.46
Waqar et al (2025),2020,0.47
Balbao et al. (2018),1922,0.18
Balbao et al. (2018),1926,0.24
Balbao et al. (2018),1932,0.31
Balbao et al. (2018),1939,0.34
Balbao et al. (2018),1946,0.29
Balbao et al. (2018),1951,0.38
Balbao et al. (2018),1956,0.42
Balbao et al. (2018),1961,0.27
Balbao et al. (2018),1964,0.33
Balbao et al. (2018),1968,0.36
Balbao et al. (2018),1971,0.25
Balbao et al. (2018),1974,0.3
Balbao et al. (2018),1976,0.4
Balbao et al. (2018),1979,0.35
Balbao et al. (2018),1981,0.28
Balbao et al. (2018),1983,0.32
Balbao et al. (2018),1985,0.37
Balbao et al. (2018),1987,0.39
Balbao et al. (2018),1989,0.41
Balbao et al. (2018),1991,0.36
Balbao et al. (2018),1993,0.38
Balbao et al. (2018),1995,0.4
Balbao et al. (2018),1997,0.42
Balbao et al. (2018),1999,0.45
Balbao et al. (2018),2000,0.43
Balbao et al. (2018),2001,0.44
Balbao et al. (2018),2002,0.41
Balbao et al. (2018),2003,0.46
Balbao et al. (2018),2004,0.45
Balbao et al. (2018),2004,0.48
Balbao et al. (2018),2005,0.44
Balbao et al. (2018),2005,0.47
Balbao et al. (2018),2006,0.49
Balbao et al. (2018),2006,0.46
Balbao et al. (2018),2007,0.5
Balbao et al. (2018),2007,0.48
Balbao et al. (2018),2008,0.52
Balbao et al. (2018),2008,0.49
Balbao et al. (2018),2009,0.53
Balbao et al. (2018),2009,0.5
Balbao et al. (2018),2010,0.55
Balbao et al. (2018),2010,0.51
Balbao et al. (2018),2010,0.47
Balbao et al. (2018),2011,0.54
Balbao et al. (2018),2011,0.49
Balbao et al. (2018),2011,0.52
Balbao et al. (2018),2012,0.56
Balbao et al. (2018),2012,0.51
Umburanas et al. (2022),1965,0.35
Umburanas et al. (2022),1966,0.22
Umburanas et al. (2022),1968,0.38
Umburanas et al. (2022),1970,0.39
Umburanas et al. (2022),1971,0.23
Umburanas et al. (2022),1973,0.41
Umburanas et al. (2022),1974,0.27
Umburanas et al. (2022),1976,0.4
Umburanas et al. (2022),1978,0.39
Umburanas et al. (2022),1980,0.36
Umburanas et al. (2022),1982,0.43
Umburanas et al. (2022),1983,0.45
Umburanas et al. (2022),1984,0.42
Umburanas et al. (2022),1986,0.47
Umburanas et al. (2022),1987,0.44
Umburanas et al. (2022),1989,0.46
Umburanas et al. (2022),1990,0.24
Umburanas et al. (2022),1992,0.38
Umburanas et al. (2022),1994,0.41
Umburanas et al. (2022),1996,0.42
Umburanas et al. (2022),1999,0.4
Umburanas et al. (2022),2002,0.43
Umburanas et al. (2022),2004,0.38
Umburanas et al. (2022),2006,0.45
Umburanas et al. (2022),2007,0.37
Umburanas et al. (2022),2009,0.48
Umburanas et al. (2022),2010,0.44
Umburanas et al. (2022),2012,0.41
Umburanas et al. (2022),2013,0.47
Umburanas et al. (2022),2015,0.46
Umburanas et al. (2022),2017,0.42
