"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
2013.124,"x",NA,785,0.3928251,"y",NA,271,"orangeGrp"
2014.021,"x",NA,791,0.5704036,"y",NA,172,"orangeGrp"
2013.871,"x",NA,790,0.561435,"y",NA,177,"orangeGrp"
2013.871,"x",NA,790,0.541704,"y",NA,188,"orangeGrp"
2014.021,"x",NA,791,0.5255605,"y",NA,197,"orangeGrp"
2014.021,"x",NA,791,0.5112108,"y",NA,205,"orangeGrp"
2014.17,"x",NA,792,0.4932735,"y",NA,215,"orangeGrp"
2014.17,"x",NA,792,0.47713,"y",NA,224,"orangeGrp"
2013.871,"x",NA,790,0.4609865,"y",NA,233,"orangeGrp"
2013.871,"x",NA,790,0.4556054,"y",NA,236,"orangeGrp"
2013.722,"x",NA,789,0.4412556,"y",NA,244,"orangeGrp"
2013.871,"x",NA,790,0.4304933,"y",NA,250,"orangeGrp"
2013.722,"x",NA,789,0.4143498,"y",NA,259,"orangeGrp"
2014.17,"x",NA,792,0.2887892,"y",NA,329,"orangeGrp"
2014.17,"x",NA,792,0.3013453,"y",NA,322,"orangeGrp"
2013.722,"x",NA,789,0.3139013,"y",NA,315,"orangeGrp"
2014.021,"x",NA,791,0.3282511,"y",NA,307,"orangeGrp"
2014.17,"x",NA,792,0.3533632,"y",NA,293,"orangeGrp"
2015.217,"x",NA,799,0.3587444,"y",NA,290,"orangeGrp"
2015.217,"x",NA,799,0.3820628,"y",NA,277,"orangeGrp"
2014.918,"x",NA,797,0.4215247,"y",NA,255,"orangeGrp"
2015.217,"x",NA,799,0.4340807,"y",NA,248,"orangeGrp"
2014.918,"x",NA,797,0.4627803,"y",NA,232,"orangeGrp"
2017.01,"x",NA,811,0.1901345,"y",NA,384,"orangeGrp"
2016.861,"x",NA,810,0.2188341,"y",NA,368,"orangeGrp"
2016.712,"x",NA,809,0.238565,"y",NA,357,"orangeGrp"
2016.562,"x",NA,808,0.2529148,"y",NA,349,"orangeGrp"
2016.562,"x",NA,808,0.2672646,"y",NA,341,"orangeGrp"
2016.712,"x",NA,809,0.2887892,"y",NA,329,"orangeGrp"
2016.861,"x",NA,810,0.303139,"y",NA,321,"orangeGrp"
2017.16,"x",NA,812,0.3390135,"y",NA,301,"orangeGrp"
2016.861,"x",NA,810,0.3569507,"y",NA,291,"orangeGrp"
2016.712,"x",NA,809,0.3784753,"y",NA,279,"orangeGrp"
2016.712,"x",NA,809,0.3928251,"y",NA,271,"orangeGrp"
2016.712,"x",NA,809,0.4035874,"y",NA,265,"orangeGrp"
2016.712,"x",NA,809,0.4233184,"y",NA,254,"orangeGrp"
2016.861,"x",NA,810,0.4484305,"y",NA,240,"orangeGrp"
2016.861,"x",NA,810,0.4735426,"y",NA,226,"orangeGrp"
2017.459,"x",NA,814,0.496861,"y",NA,213,"orangeGrp"
2016.562,"x",NA,808,0.5183857,"y",NA,201,"orangeGrp"
2016.712,"x",NA,809,0.5381166,"y",NA,190,"orangeGrp"
2016.861,"x",NA,810,0.5506726,"y",NA,183,"orangeGrp"
2017.16,"x",NA,812,0.5704036,"y",NA,172,"orangeGrp"
2017.16,"x",NA,812,0.6134529,"y",NA,148,"orangeGrp"
2017.16,"x",NA,812,0.6349776,"y",NA,136,"orangeGrp"
2016.114,"x",NA,805,0.5022422,"y",NA,210,"orangeGrp"
2015.815,"x",NA,803,0.4878924,"y",NA,218,"orangeGrp"
2015.964,"x",NA,804,0.4735426,"y",NA,226,"orangeGrp"
2018.356,"x",NA,820,0.2044843,"y",NA,376,"orangeGrp"
2018.057,"x",NA,818,0.2295964,"y",NA,362,"orangeGrp"
2017.907,"x",NA,817,0.2475336,"y",NA,352,"orangeGrp"
2017.907,"x",NA,817,0.2600897,"y",NA,345,"orangeGrp"
2017.907,"x",NA,817,0.270852,"y",NA,339,"orangeGrp"
2018.206,"x",NA,819,0.2834081,"y",NA,332,"orangeGrp"
2018.206,"x",NA,819,0.2977578,"y",NA,324,"orangeGrp"
2018.206,"x",NA,819,0.3067265,"y",NA,319,"orangeGrp"
2018.057,"x",NA,818,0.3605381,"y",NA,289,"orangeGrp"
2017.907,"x",NA,817,0.3713004,"y",NA,283,"orangeGrp"
2018.057,"x",NA,818,0.3802691,"y",NA,278,"orangeGrp"
2018.057,"x",NA,818,0.3946188,"y",NA,270,"orangeGrp"
2018.057,"x",NA,818,0.4017937,"y",NA,266,"orangeGrp"
2018.057,"x",NA,818,0.4215247,"y",NA,255,"orangeGrp"
2017.907,"x",NA,817,0.4358744,"y",NA,247,"orangeGrp"
2018.206,"x",NA,819,0.5183857,"y",NA,201,"orangeGrp"
1997.429,"x",NA,680,0.3587444,"y",NA,290,"orangeGrp"
1997.578,"x",NA,681,0.3766816,"y",NA,280,"orangeGrp"
1997.578,"x",NA,681,0.3982063,"y",NA,268,"orangeGrp"
1997.578,"x",NA,681,0.4107623,"y",NA,261,"orangeGrp"
